    µm         	 V
8.281287e-001	-1.291500e+000
8.271521e-001	-1.292625e+000
8.261756e-001	-1.293000e+000
8.251990e-001	-1.294125e+000
8.242224e-001	-1.295250e+000
8.232458e-001	-1.295625e+000
8.222693e-001	-1.296750e+000
8.212927e-001	-1.297500e+000
8.203161e-001	-1.298625e+000
8.193396e-001	-1.299750e+000
8.183630e-001	-1.300125e+000
8.173864e-001	-1.301250e+000
8.164099e-001	-1.302000e+000
8.154333e-001	-1.302750e+000
8.144567e-001	-1.303875e+000
8.134801e-001	-1.305375e+000
8.125036e-001	-1.306125e+000
8.115270e-001	-1.306875e+000
8.105504e-001	-1.307625e+000
8.095739e-001	-1.308750e+000
8.085973e-001	-1.309500e+000
8.076207e-001	-1.310250e+000
8.066442e-001	-1.311375e+000
8.056676e-001	-1.312500e+000
8.046910e-001	-1.312875e+000
8.037144e-001	-1.314000e+000
8.027379e-001	-1.315125e+000
8.017613e-001	-1.316250e+000
8.007847e-001	-1.317000e+000
7.998082e-001	-1.317375e+000
7.988316e-001	-1.318875e+000
7.978550e-001	-1.319625e+000
7.968785e-001	-1.320750e+000
7.959019e-001	-1.321875e+000
7.949253e-001	-1.323000e+000
7.939487e-001	-1.323375e+000
7.929722e-001	-1.324875e+000
7.919956e-001	-1.325250e+000
7.910190e-001	-1.326000e+000
7.900425e-001	-1.327125e+000
7.890659e-001	-1.327875e+000
7.880893e-001	-1.329000e+000
7.871128e-001	-1.329750e+000
7.861362e-001	-1.330500e+000
7.851596e-001	-1.331625e+000
7.841830e-001	-1.332750e+000
7.832065e-001	-1.333500e+000
7.822299e-001	-1.334625e+000
7.812533e-001	-1.335750e+000
7.802768e-001	-1.336875e+000
7.793002e-001	-1.337250e+000
7.783236e-001	-1.338000e+000
7.773471e-001	-1.339500e+000
7.763705e-001	-1.340250e+000
7.753939e-001	-1.341375e+000
7.744173e-001	-1.342125e+000
7.734408e-001	-1.342875e+000
7.724642e-001	-1.344000e+000
7.714876e-001	-1.344375e+000
7.705111e-001	-1.345875e+000
7.695345e-001	-1.346625e+000
7.685579e-001	-1.347375e+000
7.675814e-001	-1.348500e+000
7.666048e-001	-1.349250e+000
7.656282e-001	-1.350000e+000
7.646516e-001	-1.351500e+000
7.636751e-001	-1.351875e+000
