    nm         	mV
6.210972e+001	-4.323750e+002
6.201206e+001	-4.312500e+002
6.191441e+001	-4.327500e+002
6.181675e+001	-4.342500e+002
6.171909e+001	-4.331250e+002
6.162144e+001	-4.368750e+002
6.152378e+001	-4.346250e+002
6.142612e+001	-4.331250e+002
6.132846e+001	-4.402500e+002
6.123081e+001	-4.387500e+002
6.113315e+001	-4.372500e+002
6.103549e+001	-4.417500e+002
6.093784e+001	-4.425000e+002
6.084018e+001	-4.376250e+002
6.074252e+001	-4.395000e+002
6.064487e+001	-4.432500e+002
6.054721e+001	-4.455000e+002
6.044955e+001	-4.455000e+002
6.035189e+001	-4.477500e+002
6.025424e+001	-4.440000e+002
6.015658e+001	-4.425000e+002
6.005892e+001	-4.530000e+002
5.996127e+001	-4.485000e+002
5.986361e+001	-4.500000e+002
5.976595e+001	-4.522500e+002
5.966830e+001	-4.485000e+002
5.957064e+001	-4.511250e+002
5.947298e+001	-4.560000e+002
5.937532e+001	-4.526250e+002
5.927767e+001	-4.511250e+002
5.918001e+001	-4.597500e+002
5.908235e+001	-4.526250e+002
5.898470e+001	-4.567500e+002
5.888704e+001	-4.627500e+002
5.878938e+001	-4.597500e+002
5.869173e+001	-4.575000e+002
5.859407e+001	-4.631250e+002
5.849641e+001	-4.590000e+002
5.839875e+001	-4.635000e+002
5.830110e+001	-4.691250e+002
5.820344e+001	-4.635000e+002
5.810578e+001	-4.608750e+002
5.800813e+001	-4.706250e+002
5.791047e+001	-4.650000e+002
5.781281e+001	-4.676250e+002
5.771516e+001	-4.721250e+002
5.761750e+001	-4.687500e+002
5.751984e+001	-4.668750e+002
5.742218e+001	-4.766250e+002
5.732453e+001	-4.758750e+002
5.722687e+001	-4.713750e+002
5.712921e+001	-4.740000e+002
5.703156e+001	-4.822500e+002
5.693390e+001	-4.698750e+002
5.683624e+001	-4.777500e+002
5.673859e+001	-4.811250e+002
5.664093e+001	-4.766250e+002
5.654327e+001	-4.777500e+002
5.644561e+001	-4.833750e+002
5.634796e+001	-4.807500e+002
5.625030e+001	-4.811250e+002
5.615264e+001	-4.830000e+002
5.605499e+001	-4.837500e+002
5.595733e+001	-4.856250e+002
5.585967e+001	-4.860000e+002
5.576202e+001	-4.841250e+002
5.566436e+001	-4.852500e+002
5.556670e+001	-4.927500e+002
5.546904e+001	-4.841250e+002
5.537139e+001	-4.912500e+002
5.527373e+001	-4.938750e+002
5.517607e+001	-4.878750e+002
5.507842e+001	-4.935000e+002
5.498076e+001	-4.980000e+002
5.488310e+001	-4.927500e+002
5.478545e+001	-4.980000e+002
5.468779e+001	-4.976250e+002
5.459013e+001	-4.991250e+002
5.449247e+001	-4.953750e+002
5.439482e+001	-5.040000e+002
5.429716e+001	-5.013750e+002
5.419950e+001	-5.002500e+002
5.410185e+001	-5.021250e+002
5.400419e+001	-5.013750e+002
5.390653e+001	-5.055000e+002
5.380888e+001	-5.070000e+002
5.371122e+001	-5.043750e+002
5.361356e+001	-5.032500e+002
5.351590e+001	-5.092500e+002
5.341825e+001	-5.066250e+002
5.332059e+001	-5.092500e+002
5.322293e+001	-5.133750e+002
5.312528e+001	-5.107500e+002
5.302762e+001	-5.051250e+002
5.292996e+001	-5.133750e+002
5.283231e+001	-5.148750e+002
5.273465e+001	-5.115000e+002
5.263699e+001	-5.163750e+002
5.253933e+001	-5.163750e+002
5.244168e+001	-5.141250e+002
5.234402e+001	-5.175000e+002
5.224636e+001	-5.201250e+002
5.214871e+001	-5.182500e+002
5.205105e+001	-5.231250e+002
5.195339e+001	-5.197500e+002
5.185574e+001	-5.186250e+002
5.175808e+001	-5.223750e+002
5.166042e+001	-5.253750e+002
5.156276e+001	-5.212500e+002
5.146511e+001	-5.272500e+002
5.136745e+001	-5.287500e+002
5.126979e+001	-5.261250e+002
5.117214e+001	-5.276250e+002
5.107448e+001	-5.310000e+002
5.097682e+001	-5.280000e+002
5.087917e+001	-5.302500e+002
5.078151e+001	-5.347500e+002
5.068385e+001	-5.313750e+002
5.058619e+001	-5.328750e+002
5.048854e+001	-5.332500e+002
5.039088e+001	-5.362500e+002
5.029322e+001	-5.336250e+002
5.019557e+001	-5.370000e+002
5.009791e+001	-5.355000e+002
5.000025e+001	-5.381250e+002
4.990260e+001	-5.415000e+002
4.980494e+001	-5.385000e+002
4.970728e+001	-5.396250e+002
4.960962e+001	-5.445000e+002
4.951197e+001	-5.411250e+002
4.941431e+001	-5.426250e+002
4.931665e+001	-5.471250e+002
4.921900e+001	-5.452500e+002
4.912134e+001	-5.422500e+002
4.902368e+001	-5.486250e+002
4.892603e+001	-5.516250e+002
4.882837e+001	-5.471250e+002
4.873071e+001	-5.523750e+002
4.863305e+001	-5.512500e+002
4.853540e+001	-5.475000e+002
4.843774e+001	-5.523750e+002
4.834008e+001	-5.523750e+002
4.824243e+001	-5.542500e+002
4.814477e+001	-5.553750e+002
4.804711e+001	-5.546250e+002
4.794946e+001	-5.516250e+002
4.785180e+001	-5.598750e+002
4.775414e+001	-5.621250e+002
4.765648e+001	-5.553750e+002
4.755883e+001	-5.602500e+002
4.746117e+001	-5.598750e+002
4.736351e+001	-5.602500e+002
